Year,NOC,Rank,Gold,Silver,Bronze,Total,Market_Share_Gold,Market_Share_Total,Total_Events,is_host,Host_NOC,years_since_last,crossed_war,years_since_hosted,olympic_experience,first_medal_year,is_post_soviet,years_since_independence,NOC_original,Gold_lag1,Gold_lag2,Gold_lag3,Silver_lag1,Silver_lag2,Silver_lag3,Bronze_lag1,Bronze_lag2,Bronze_lag3,Total_lag1,Total_lag2,Total_lag3,Gold_rolling_mean_3,Gold_rolling_max_3,Gold_rolling_min_3,Gold_rolling_std_3,Gold_rolling_mean_5,Gold_rolling_max_5,Gold_rolling_min_5,Gold_rolling_std_5,Silver_rolling_mean_3,Silver_rolling_max_3,Silver_rolling_min_3,Silver_rolling_std_3,Silver_rolling_mean_5,Silver_rolling_max_5,Silver_rolling_min_5,Silver_rolling_std_5,Bronze_rolling_mean_3,Bronze_rolling_max_3,Bronze_rolling_min_3,Bronze_rolling_std_3,Bronze_rolling_mean_5,Bronze_rolling_max_5,Bronze_rolling_min_5,Bronze_rolling_std_5,Total_rolling_mean_3,Total_rolling_max_3,Total_rolling_min_3,Total_rolling_std_3,Total_rolling_mean_5,Total_rolling_max_5,Total_rolling_min_5,Total_rolling_std_5,Gold_growth_rate,Gold_change,Gold_acceleration,Silver_growth_rate,Silver_change,Silver_acceleration,Bronze_growth_rate,Bronze_change,Bronze_acceleration,Total_growth_rate,Total_change,Total_acceleration,Gold_is_growing,Gold_streak,Silver_is_growing,Silver_streak,Bronze_is_growing,Bronze_streak,Total_is_growing,Total_streak,Gold_host_boost,Silver_host_boost,Bronze_host_boost,Total_host_boost,market_size_interaction,experience_performance,gold_ratio,silver_ratio,bronze_ratio,gold_silver_ratio,avg_gold_year,std_gold_year,max_gold_year,num_countries,gold_vs_avg,gold_percentile,is_first_participation,is_first_medal,is_comeback,Num_Athletes,Num_Athletes_mean
2028,ALB,80,0,0,2,2,0.0,0.0,345,0,FRA,4,0,999,1,2024,0,0,Albania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,3.604395604395606,6.990277567019815,40,91,0.0,0.0,1,0,0,8.16,8.16
2028,ALG,39,2,0,1,3,0.0,0.0,345,0,FRA,4,0,999,41,1984,0,0,Algeria,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.8,2.0,0.0,0.8366600265340756,1.0,2.0,0.0,1.0,0.8,2.0,0.0,0.8366600265340756,0.5,1.0,0.0,0.5,1.0,3.0,0.0,1.224744871391589,2.5,3.0,2.0,0.5,2.6,5.0,1.0,1.51657508881031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,1,1,0,0,1,1,1,2,0.0,0.0,0.0,0.0,0.0179005363711333,40.0,0.0,0.0,0.25,0.0,3.604395604395606,6.990277567019815,40,91,0.0,0.0,0,1,0,46.92,46.92
2028,ARG,52,1,1,1,3,0.0,0.0,345,0,FRA,4,0,999,101,1924,0,0,Argentina,0.0,0.0,3.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,3.0,4.0,1.3333333333333333,3.0,0.0,1.247219128924647,1.4,3.0,0.0,1.1401754250991378,1.0,1.0,1.0,0.0,0.8,1.0,0.0,0.4472135954999582,1.0,2.0,0.0,0.816496580927726,1.8,4.0,0.0,1.4832396974191329,3.3333333333333335,4.0,3.0,0.4714045207910317,4.0,6.0,3.0,1.2247448713915894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0089502681855666,133.33333333333331,0.0,0.25,0.25,0.0,3.604395604395606,6.990277567019815,40,91,0.0,0.0,0,1,0,145.86,145.86
2028,ARM,66,0,3,1,4,0.0,0.0,345,0,FRA,4,0,999,29,1996,1,33,Armenia,0.0,0.0,1.0,0.0,2.0,3.0,0.0,2.0,0.0,0.0,4.0,4.0,0.3333333333333333,1.0,0.0,0.4714045207910317,0.2,1.0,0.0,0.447213595499958,2.6666666666666665,3.0,2.0,0.4714045207910317,2.0,3.0,1.0,1.0,1.0,2.0,0.0,0.816496580927726,1.6,4.0,0.0,1.51657508881031,4.0,4.0,4.0,0.0,3.8,5.0,2.0,1.095445115010332,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,9.333333333333332,0.0,0.6,0.2,0.0,3.604395604395606,6.990277567019815,40,91,0.0,0.0,0,0,0,15.3,15.3
2028,AUS,4,18,19,16,53,0.0,0.0,345,0,FRA,4,0,24,129,1896,0,0,Australia,0.0,17.0,8.0,0.0,7.0,11.0,0.0,22.0,10.0,0.0,46.0,29.0,14.333333333333334,18.0,8.0,4.4969125210773475,13.0,18.0,8.0,4.795831523312719,12.333333333333334,19.0,7.0,4.988876515698588,13.4,19.0,7.0,4.56070170039655,16.0,22.0,10.0,4.898979485566356,15.4,22.0,10.0,4.6690470119715,42.666666666666664,53.0,29.0,10.077477638553981,41.8,53.0,29.0,9.628083921528733,0.0,0.0,-1.0661764705882353,0.0,0.0,2.077922077922078,0.0,0.0,-1.4727272727272729,0.0,0.0,-0.4340329835082459,1,2,1,1,0,0,1,2,0.0,0.0,0.0,0.0,0.1611048273401998,1834.6666666666667,0.0,0.3518518518518518,0.2962962962962963,0.0,3.604395604395606,6.990277567019815,40,91,0.0,0.0,0,0,0,483.48,483.48
2028,AUT,36,2,0,3,5,0.0,0.0,345,0,FRA,4,0,999,129,1896,0,0,Austria,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,7.0,1.0,1.0,2.0,0.0,0.816496580927726,1.0,2.0,0.0,1.0,0.3333333333333333,1.0,0.0,0.4714045207910317,1.2,4.0,0.0,1.6431676725154984,3.0,5.0,1.0,1.632993161855452,2.4,5.0,1.0,1.6733200530681511,4.333333333333333,7.0,1.0,2.494438257849294,4.6,7.0,1.0,2.60768096208106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.4,0.0,0.0,-6.285714285714286,1,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0179005363711333,128.0,0.0,0.0,0.5,0.0,3.604395604395606,6.990277567019815,40,91,0.0,0.0,0,0,0,85.68,85.68
2028,AZE,30,2,2,3,7,0.0,0.0,345,0,FRA,4,0,999,29,1996,1,33,Azerbaijan,0.0,0.0,1.0,0.0,3.0,7.0,0.0,4.0,10.0,0.0,7.0,18.0,1.0,2.0,0.0,0.816496580927726,1.2,2.0,0.0,0.8366600265340756,4.0,7.0,2.0,2.160246899469287,3.0,7.0,1.0,2.345207879911715,5.666666666666667,10.0,3.0,3.0912061651652345,5.2,10.0,3.0,2.7748873851023217,10.666666666666666,18.0,7.0,5.185449728701348,9.4,18.0,6.0,4.929503017546495,0.0,0.0,0.0,0.0,0.0,0.238095238095238,0.0,0.0,0.35,0.0,0.0,0.6111111111111112,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0179005363711333,28.0,0.0,0.25,0.375,0.0,3.604395604395606,6.990277567019815,40,91,0.0,0.0,0,1,0,48.96,48.96
2028,BEL,25,3,1,6,10,0.0,0.0,345,0,FRA,4,0,104,125,1900,0,0,Belgium,0.0,3.0,2.0,0.0,1.0,2.0,0.0,3.0,2.0,0.0,7.0,6.0,2.6666666666666665,3.0,2.0,0.4714045207910317,2.0,3.0,0.0,1.224744871391589,1.3333333333333333,2.0,1.0,0.4714045207910317,1.0,2.0,0.0,0.7071067811865477,3.6666666666666665,6.0,2.0,1.699673171197595,2.6,6.0,0.0,2.1908902300206643,7.666666666666667,10.0,6.0,1.699673171197595,5.6,10.0,2.0,3.2093613071762386,0.0,0.0,-0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.2619047619047618,0,0,0,0,1,2,1,4,0.0,0.0,0.0,0.0,0.0268508045566999,330.66666666666663,0.0,0.0909090909090909,0.5454545454545454,0.0,3.604395604395606,6.990277567019815,40,91,0.0,0.0,0,0,0,180.54,180.54
2028,BOT,55,1,1,0,2,0.0,0.0,345,0,FRA,4,0,999,13,2012,0,0,Botswana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5,1.0,0.0,0.5,0.3333333333333333,1.0,0.0,0.5773502691896258,0.5,1.0,0.0,0.5,0.6666666666666666,1.0,0.0,0.5773502691896258,0.5,1.0,0.0,0.5,0.3333333333333333,1.0,0.0,0.5773502691896258,1.5,2.0,1.0,0.5,1.3333333333333333,2.0,1.0,0.5773502691896258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1,1,0,0,1,1,0.0,0.0,0.0,0.0,0.0089502681855666,4.0,0.0,0.3333333333333333,0.0,0.0,3.604395604395606,6.990277567019815,40,91,0.0,0.0,0,1,0,14.280000000000001,14.280000000000001
2028,BRA,20,3,7,10,20,0.0,0.0,345,0,FRA,4,0,8,105,1920,0,0,Brazil,0.0,7.0,7.0,0.0,6.0,6.0,0.0,8.0,6.0,0.0,21.0,19.0,5.666666666666667,7.0,3.0,1.8856180831641267,4.6,7.0,3.0,2.1908902300206643,6.333333333333333,7.0,6.0,0.4714045207910317,5.6,7.0,4.0,1.1401754250991387,8.0,10.0,6.0,1.632993161855452,8.6,10.0,6.0,1.6733200530681511,20.0,21.0,19.0,0.816496580927726,18.8,21.0,17.0,1.7888543819998302,0.0,0.0,-0.5714285714285714,0.0,0.0,0.1666666666666667,0.0,0.0,-0.0833333333333332,0.0,0.0,-0.1528822055137846,0,0,1,1,1,2,0,0,0.0,0.0,0.0,0.0,0.0268508045566999,589.3333333333334,0.0,0.3333333333333333,0.4761904761904761,0.0,3.604395604395606,6.990277567019815,40,91,0.0,0.0,0,0,0,294.78000000000003,294.78000000000003
2028,BRN,33,2,1,1,4,0.0,0.0,345,0,FRA,4,0,999,13,2012,0,0,Bahrain,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.816496580927726,1.0,2.0,0.0,0.816496580927726,1.0,1.0,1.0,0.0,0.75,1.0,0.0,0.5,0.3333333333333333,1.0,0.0,0.4714045207910317,0.25,1.0,0.0,0.5,2.3333333333333335,4.0,1.0,1.247219128924647,2.0,4.0,1.0,1.4142135623730951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,1,1,0,0,1,1,1,1,0.0,0.0,0.0,0.0,0.0179005363711333,12.0,0.0,0.2,0.2,0.0,3.604395604395606,6.990277567019815,40,91,0.0,0.0,0,1,0,14.280000000000001,14.280000000000001
2028,BUL,26,3,1,3,7,0.0,0.0,345,0,FRA,4,0,999,73,1952,0,0,Bulgaria,0.0,3.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,6.0,3.0,2.0,3.0,0.0,1.4142135623730951,1.4,3.0,0.0,1.51657508881031,1.0,1.0,1.0,0.0,1.2,2.0,1.0,0.4472135954999589,2.3333333333333335,3.0,2.0,0.4714045207910317,2.2,3.0,1.0,0.8366600265340745,5.333333333333333,7.0,3.0,1.699673171197595,4.8,7.0,3.0,1.7888543819998144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,-0.8333333333333333,0,0,0,0,1,1,1,2,0.0,0.0,0.0,0.0,0.0268508045566999,144.0,0.0,0.125,0.375,0.0,3.604395604395606,6.990277567019815,40,91,0.0,0.0,0,0,0,46.92,46.92
2028,CAN,12,9,7,11,27,0.0,0.0,345,0,FRA,4,0,48,125,1900,0,0,Canada,0.0,7.0,4.0,0.0,7.0,3.0,0.0,10.0,15.0,0.0,24.0,22.0,6.666666666666667,9.0,4.0,2.0548046676563256,5.0,9.0,2.0,2.9154759474226504,5.666666666666667,7.0,3.0,1.8856180831641267,6.4,9.0,3.0,2.190890230020663,12.0,15.0,10.0,2.160246899469287,10.8,15.0,8.0,2.5884358211089555,24.333333333333332,27.0,22.0,2.0548046676563256,22.2,27.0,18.0,3.492849839314609,0.0,0.0,-0.4642857142857142,0.0,0.0,-1.3333333333333337,0.0,0.0,0.4333333333333334,0.0,0.0,0.0340909090909091,1,3,0,0,1,1,1,3,0.0,0.0,0.0,0.0,0.0805524136700999,826.6666666666667,0.0,0.25,0.3928571428571428,0.0,3.604395604395606,6.990277567019815,40,91,0.0,0.0,0,0,0,338.64,338.64
2028,CHI,55,1,1,0,2,0.0,0.0,345,0,FRA,4,0,999,97,1928,0,0,Chile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.6,2.0,0.0,0.8944271909999159,1.0,1.0,1.0,0.5773502691896258,0.6,1.0,0.0,0.5477225575051661,0.0,0.0,0.0,0.5773502691896258,0.4,1.0,0.0,0.5477225575051663,2.0,2.0,2.0,1.0,1.6,3.0,1.0,0.8944271909999159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,1,1,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0089502681855666,96.0,0.0,0.3333333333333333,0.0,0.0,3.604395604395606,6.990277567019815,40,91,0.0,0.0,0,1,1,48.96,48.96
2028,CHN,2,40,27,24,91,0.0,0.0,345,0,FRA,4,0,16,41,1984,0,0,China,0.0,38.0,26.0,0.0,32.0,18.0,0.0,19.0,26.0,0.0,89.0,70.0,34.666666666666664,40.0,26.0,6.182412330330469,38.2,48.0,26.0,7.886697661252142,25.666666666666668,32.0,18.0,5.792715732327588,26.0,32.0,18.0,5.958187643906492,23.0,26.0,19.0,2.943920288775949,24.2,30.0,19.0,4.1472882706655465,83.33333333333333,91.0,70.0,9.46337971105226,88.4,100.0,70.0,11.104053313993058,0.0,0.0,-0.4089068825910931,0.0,0.0,-0.9340277777777776,0.0,0.0,0.5323886639676113,0.0,0.0,-0.2489566613162117,1,2,0,0,1,1,1,2,0.0,0.0,0.0,0.0,0.3580107274226664,1386.6666666666663,0.0,0.2934782608695652,0.2608695652173913,0.0,3.604395604395606,6.990277567019815,40,91,0.0,0.0,0,0,0,403.92,403.92
2028,COL,66,0,3,1,4,0.0,0.0,345,0,FRA,4,0,999,53,1972,0,0,Colombia,0.0,0.0,3.0,0.0,4.0,2.0,0.0,1.0,3.0,0.0,5.0,8.0,1.0,3.0,0.0,1.4142135623730951,0.8,3.0,0.0,1.3038404810405295,3.0,4.0,2.0,0.816496580927726,2.8,4.0,2.0,0.8366600265340756,1.6666666666666667,3.0,1.0,0.9428090415820634,2.2,5.0,1.0,1.7888543819998317,5.666666666666667,8.0,4.0,1.699673171197595,5.8,9.0,3.0,2.588435821108957,0.0,0.0,0.0,0.0,0.0,-1.25,0.0,0.0,0.6666666666666667,0.0,0.0,0.175,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.6,0.2,0.0,3.604395604395606,6.990277567019815,40,91,0.0,0.0,0,0,0,89.76,89.76
2028,CRO,30,2,2,3,7,0.0,0.0,345,0,FRA,4,0,999,33,1992,0,0,Croatia,0.0,3.0,5.0,0.0,3.0,3.0,0.0,2.0,2.0,0.0,8.0,10.0,3.3333333333333335,5.0,2.0,1.247219128924647,2.6,5.0,0.0,1.816590212458495,2.6666666666666665,3.0,2.0,0.4714045207910317,2.2,3.0,1.0,0.8366600265340753,2.3333333333333335,3.0,2.0,0.4714045207910317,2.4,3.0,2.0,0.547722557505166,8.333333333333334,10.0,7.0,1.247219128924647,7.2,10.0,5.0,1.9235384061671348,0.0,0.0,0.0666666666666666,0.0,0.0,-0.3333333333333333,0.0,0.0,0.5,0.0,0.0,0.0749999999999999,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0179005363711333,106.66666666666669,0.0,0.25,0.375,0.0,3.604395604395606,6.990277567019815,40,91,0.0,0.0,0,0,0,74.46000000000001,74.46000000000001
2028,CUB,32,2,1,6,9,0.0,0.0,345,0,FRA,4,0,999,125,1900,0,0,Cuba,0.0,7.0,5.0,0.0,3.0,2.0,0.0,5.0,4.0,0.0,15.0,11.0,4.666666666666667,7.0,2.0,2.0548046676563256,4.4,7.0,2.0,1.949358868961792,2.0,3.0,1.0,0.816496580927726,3.8,10.0,1.0,3.563705936241092,5.0,6.0,4.0,0.816496580927726,7.8,17.0,4.0,5.263078946776307,11.666666666666666,15.0,9.0,2.494438257849294,16.0,30.0,9.0,8.24621125123532,0.0,0.0,-1.1142857142857143,0.0,0.0,-1.1666666666666667,0.0,0.0,-0.05,0.0,0.0,-0.7636363636363636,0,0,0,0,1,2,0,0,0.0,0.0,0.0,0.0,0.0179005363711333,578.6666666666667,0.0,0.1,0.6,0.0,3.604395604395606,6.990277567019815,40,91,0.0,0.0,0,0,0,62.22,62.22
2028,CYP,74,0,1,0,1,0.0,0.0,345,0,FRA,4,0,999,13,2012,0,0,Cyprus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,3.604395604395606,6.990277567019815,40,91,0.0,0.0,0,0,1,15.3,15.3
2028,CZE,28,3,0,2,5,0.0,0.0,345,0,FRA,4,0,999,125,1900,0,0,Czech Republic,0.0,4.0,1.0,0.0,4.0,2.0,0.0,3.0,7.0,0.0,11.0,10.0,2.6666666666666665,4.0,1.0,1.247219128924647,3.0,4.0,1.0,1.224744871391589,2.0,4.0,0.0,1.632993161855452,2.6,4.0,0.0,1.6733200530681511,4.0,7.0,2.0,2.160246899469287,3.2,7.0,1.0,2.280350850198276,8.666666666666666,11.0,5.0,2.6246692913372702,8.8,11.0,5.0,2.683281572999748,0.0,0.0,-3.25,0.0,0.0,-2.0,0.0,0.0,0.238095238095238,0.0,0.0,-0.6454545454545455,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0268508045566999,330.66666666666663,0.0,0.0,0.3333333333333333,0.0,3.604395604395606,6.990277567019815,40,91,0.0,0.0,0,0,0,113.22,113.22
